Topic_1_Word,Topic_1_Frequency,Topic_2_Word,Topic_2_Frequency,Topic_3_Word,Topic_3_Frequency,Topic_4_Word,Topic_4_Frequency,Topic_5_Word,Topic_5_Frequency,Topic_6_Word,Topic_6_Frequency
freie,405.16684367583326,afd,240.166719120151,müssen,686.1428965729029,zoll,0.16666667404446972,mehr,200.11314516986164,zoll,0.16666667404446972
demokraten,394.1667277124839,deutschland,104.1666901866404,menschen,582.2457929640176,mittlerer,0.16666667404446964,deutschland,185.35382521645906,mittlerer,0.16666667404446964
sowie,138.16669839581184,fordert,88.16670201544834,mehr,478.2201832544886,umgehung,0.1666666740444696,müssen,183.19043757355965,umgehung,0.1666666740444696
mehr,130.16668871019752,deutschen,74.16669647796141,sollen,354.9313486971442,erschließung,0.1666666740444695,dafür,166.4721156984363,erschließung,0.1666666740444695
eu,127.16669709223171,ab,66.16668947244628,dafür,342.86123320349316,unfairen,0.16666667404446947,stärken,157.5196760417296,unfairen,0.16666667404446947
deutschland,121.1666855071443,eu,65.16667444928666,sowie,336.4549258161914,auszahlung,0.16666667404446947,setzen,153.08829091886426,auszahlung,0.16666667404446947
müssen,121.16667807289923,müssen,61.16665443878215,eu,277.96795196935767,transport,0.16666667404446942,europa,137.76172444826875,transport,0.16666667404446942
fordern,115.1667051126362,sowie,52.16666258783953,stärken,265.81366251507916,wäldern,0.1666666740444694,neue,129.53049246018554,wäldern,0.1666666740444694
sollen,82.16668000537808,mehr,43.16664952357313,kapitel,242.16667854166906,zukunftsfähiger,0.1666666740444693,menschen,128.08755656548405,zukunftsfähiger,0.1666666740444693
setzen,79.16668230452552,europäischen,40.16667060931551,deutschland,229.97946574793295,steuereinnahmen,0.16666667402374036,fördern,122.10529646741867,steuereinnahmen,0.16666667402374036
